Job Title,Company Name,Location,Job Type,Experience Level,Posting Date,Requirements,Link
Elevator Modernization Senior Sales Engineer,Elevator Modernization Senior Sales Engineer,"Nasr City, Cairo, Egypt",Full Time,Not specified,1 hour ago,"['Bachelor’s degree in Mechanical or Electrical Engineering.', 'Minimum5–7 yearsexperience in elevator or elevator modernization sales.', 'Excellent technical understanding of elevator systems and ability to explain upgrade solutions to clients.', 'Strong capability in preparing technical and commercial proposals and dealing with consultants and contractors.', 'Ability to manage the full sales cycle and achieve targets.', 'Willingness to visit clients and job sites when required.']",https://wuzzuf.net/jobs/p/3xwofjynqhip-elevator-modernization-senior-sales-engineer-rm-elevators-and-industrial-engineering-cairo-egypt
Sales Engineer,Experienced,"Sheikh Zayed, Giza, Egypt",Full Time,Not specified,1 hour ago,"['Bachelor’s degree in Engineering.', 'Sales experience in BMU or similar façade access systems', 'Ability to interact with consultants and contractors', 'Proficiency indesign software and AutoCADis recommended', 'Strong communication and technical/commercial presentation skills', 'Willingness to travel when required']",https://wuzzuf.net/jobs/p/fbs63moaukac-sales-engineer-rm-elevators-and-industrial-engineering-giza-egypt
Senior Graphic Designer (Presentation Designing),· Sales/Retail,"Heliopolis, Cairo, Egypt",Part Time,Not specified,2 hours ago,"[""A bachelor's degree in Graphic Design, Visual Communication, Information Design, or a related field is typically required."", 'Experience requirements 3-5 Years in similar position.']",https://wuzzuf.net/jobs/p/zv7sx4secxhf-senior-graphic-designer-presentation-designing-specialized-seamless-services-cairo-egypt
Architect,· Engineering - Mechanical/Electrical,"Nasr City, Cairo, Egypt",Full Time,Not specified,2 hours ago,[],https://wuzzuf.net/jobs/p/ufra5rvfn8fm-architect-cairo-egypt
Document Control Specialist,Sales Engineer,"New Cairo, Cairo, Egypt",Full Time,Not specified,3 hours ago,[],https://wuzzuf.net/jobs/p/mag1a160yg9y-document-control-specialist-city-master-group-developments-cairo-egypt
Technical office engineer (Wood Works) in Damietta,Experienced,"New Damietta, Damietta, Egypt",Full Time,Not specified,3 hours ago,[],https://wuzzuf.net/jobs/p/q7lx2wyy2ekm-technical-office-engineer-wood-works-in-damietta-magaz-damietta-egypt
Mechanical Technical Office Engineer,· Engineering - Construction/Civil/Architecture,"6th of October, Giza, Egypt",Full Time,Not specified,3 hours ago,"['Prepare, review, and coordinate mechanical shop drawings.', 'Ensure accuracy and compliance with project specifications and codes.', 'Collaborate with project managers, consultants, and site teams to resolve technical issues.', 'Provide technical support throughout project execution.', 'Review material submittals and ensure alignment with design requirements.', 'Bachelor’s degree in Mechanical Engineering.', '2–4 years of proven experiencein Technical Office work within contracting companies.', 'Strong background in HVAC, Firefighting, and Plumbing systems.', 'Excellent knowledge of shop drawings and technical standards.', 'Strong communication and problem-solving skills.']",https://wuzzuf.net/jobs/p/m4kqhp4id959-mechanical-technical-office-engineer-reavera-giza-egypt
Fit-out site Engineer,· Sales/Retail,"New Cairo, Cairo, Egypt",Full Time,Not specified,3 hours ago,"['Bachelor’s degree in architecture/ fine arts', 'Residential and commercial experience background', 'Excellent leadership skills to supervise the site', 'Excellent verbal and written communication skills', 'Proven Experience in Finishing high-end interior designs and coordination with MEP', 'Excellent attention to details and accuracy.', 'Ability to manage several tasks and projects simultaneously.', 'Time management and project skills required to undertake multiple projects.']",https://wuzzuf.net/jobs/p/ozc0iwihfhod-fit-out-site-engineer-magaz-cairo-egypt
Cost Manager,· Engineering - Mechanical/Electrical,"Cairo, Egypt",Full Time,Not specified,4 hours ago,"['Bachelor’s degree in Quantity Surveying, Civil Engineering, Cost Engineering, or a related f ield. Minimum 5 years of experience in cost management on large construction projects (e.g., infrastructure, industrial, commercial).', 'Strong understanding of cost control processes, budget forecasting, and financial reporting.', 'Proficiency in cost reporting tools, spreadsheets (Excel), and project cost systems.', 'Excellent analytical skills with attention to detail and accuracy.', 'Strong communication and stakeholder management skills.', 'Familiarity with value engineering and change management processes is a plus.']",https://wuzzuf.net/jobs/p/5qpxqonoss28-cost-manager-riseup-endemag-for-administrative-skills-development-cairo-egypt
Procurement Manager - Construction,Senior Graphic Designer (Presentation Designing),"New Cairo, Cairo, Egypt",Full Time,Not specified,4 hours ago,"['Bachelor’s degree in Engineering, Supply Chain, Business, or a related field.', '5–10 years of experience in procurement within the construction industry.', 'Strong negotiation and communication skills.', 'Excellent knowledge of construction materials, equipment, and suppliers.', 'Experience in ERP systems Odoo .', 'Strong analytical and organizational abilities.', 'Ability to manage multiple projects and deadlines.', 'High attention to detail and commitment to quality.']",https://wuzzuf.net/jobs/p/faof9xmyasav-procurement-manager-construction-el-ezz-for-construction-and-trading-cairo-egypt
